model,threshold,accuracy,precision,recall,f1
efficientnet,0.4800000000000001,0.5395,0.5260382333553065,0.798,0.634088200238379
efficientnet,0.5000000000000001,0.5075,0.6,0.045,0.08372093023255814
efficientnet,0.5200000000000001,0.5005,1.0,0.001,0.001998001998001998
efficientnet,0.5400000000000001,0.5,0.0,0.0,0.0
efficientnet,0.5600000000000002,0.5,0.0,0.0,0.0
efficientnet,0.5800000000000002,0.5,0.0,0.0,0.0
efficientnet,0.6000000000000002,0.5,0.0,0.0,0.0
efficientnet,0.6200000000000002,0.5,0.0,0.0,0.0
efficientnet,0.6400000000000002,0.5,0.0,0.0,0.0
efficientnet,0.6600000000000003,0.5,0.0,0.0,0.0
efficientnet,0.6800000000000003,0.5,0.0,0.0,0.0
efficientnet,0.7000000000000003,0.5,0.0,0.0,0.0
efficientnet,0.7200000000000003,0.5,0.0,0.0,0.0
efficientnet,0.7400000000000003,0.5,0.0,0.0,0.0
efficientnet,0.7600000000000003,0.5,0.0,0.0,0.0
efficientnet,0.7800000000000004,0.5,0.0,0.0,0.0
ensemble,0.4,0.5015,0.5007511266900351,1.0,0.667334000667334
ensemble,0.42000000000000004,0.5015,0.5007511266900351,1.0,0.667334000667334
ensemble,0.44000000000000006,0.5025,0.5012531328320802,1.0,0.667779632721202
ensemble,0.4600000000000001,0.5055,0.5027679919476598,0.999,0.6688985604285236
ensemble,0.4800000000000001,0.5125,0.5063419583967529,0.998,0.6718276674520364
ensemble,0.5000000000000001,0.6515,0.5901249256395003,0.992,0.7400223797090638
ensemble,0.5200000000000001,0.7225,0.6472534745201853,0.978,0.7789725209080047
ensemble,0.5400000000000001,0.752,0.6757322175732218,0.969,0.7962202136400987
ensemble,0.5600000000000002,0.7735,0.6989090909090909,0.961,0.8092631578947368
ensemble,0.5800000000000002,0.7865,0.7146067415730337,0.954,0.8171306209850107
ensemble,0.6000000000000002,0.805,0.7368012422360248,0.949,0.8295454545454546
ensemble,0.6200000000000002,0.819,0.7552,0.944,0.8391111111111111
ensemble,0.6400000000000002,0.831,0.7753743760399334,0.932,0.846503178928247
ensemble,0.6600000000000003,0.844,0.7991304347826087,0.919,0.8548837209302326
ensemble,0.6800000000000003,0.846,0.8122743682310469,0.9,0.8538899430740038
ensemble,0.7000000000000003,0.8505,0.8303487276154571,0.881,0.8549247937894227
ensemble,0.7200000000000003,0.852,0.8485148514851485,0.857,0.8527363184079602
ensemble,0.7400000000000003,0.854,0.86875,0.834,0.8510204081632653
ensemble,0.7600000000000003,0.854,0.8924611973392461,0.805,0.8464773922187171
ensemble,0.7800000000000004,0.8375,0.9071170084439083,0.752,0.8223072717331875
